SampleID,Plate,Description,Run,Row,Column,Well,isotope,treatment,ecosystem,sampleID,Density.g.ml,avg_16S_copies,dna_ng_ul,uL_added,dry_soil_wt_g,timepoint,avg_16S_g_soil
DIM.53.9,2,53.9,1,H,6,H6,16O,C,PJ,W1_PJ_5,1.7078456,27756.73014,13.6,75,0.246219481115245,7,5025.18212685786
DIM.67.10,1,67.1,1,C,7,C7,18O,C,PJ,W1_PJ_22,1.7298296,4358.480316,21.7,50,0.247871960854274,7,497.854867406302
DIM.67.11,1,67.11,1,D,7,D7,18O,C,PJ,W1_PJ_22,1.725536,8649.837955,21.7,50,0.247871960854274,7,988.04253224773
DIM.67.12,1,67.12,1,E,7,E7,18O,C,PJ,W1_PJ_22,1.7212424,17121.38408,21.7,50,0.247871960854274,7,1955.719375322
DIM.67.13,1,67.13,1,F,7,F7,18O,C,PJ,W1_PJ_22,1.7169488,53604.70068,21.7,50,0.247871960854274,7,6123.08860302214
DIM.67.14,1,67.14,1,G,7,G7,18O,C,PJ,W1_PJ_22,1.7126552,71715.82318,21.7,50,0.247871960854274,7,8191.8625418917
DIM.67.15,1,67.15,1,H,7,H7,18O,C,PJ,W1_PJ_22,1.709435,145232.7194,21.7,50,0.247871960854274,7,16589.4557317404
DIM.67.16,1,67.16,1,A,8,A8,18O,C,PJ,W1_PJ_22,1.7051414,471696.1559,21.7,50,0.247871960854274,7,53880.3000416389
DIM.67.17,1,67.17,1,B,8,B8,18O,C,PJ,W1_PJ_22,1.7008478,1034838.981,21.7,50,0.247871960854274,7,118206.252252953
DIM.67.18,1,67.18,1,C,8,C8,18O,C,PJ,W1_PJ_22,1.6976276,921926.1978,21.7,50,0.247871960854274,7,105308.596503047
DIM.67.19,1,67.19,1,D,8,D8,18O,C,PJ,W1_PJ_22,1.6944074,337848.9656,21.7,50,0.247871960854274,7,38591.3758414102
DIM.67.20,1,67.2,1,E,8,E8,18O,C,PJ,W1_PJ_22,1.6801,131995.5965,21.7,50,0.247871960854274,7,15077.4227320666
DIM.67.21,1,67.21,1,F,8,F8,18O,C,PJ,W1_PJ_22,1.676,36475.38824,21.7,50,0.247871960854274,7,4166.46359722107
DIM.67.9,1,67.9,1,B,7,B7,18O,C,PJ,W1_PJ_22,1.7330498,4372.635821,21.7,50,0.247871960854274,7,499.471804171847
DIM.68.10,2,68.1,1,H,8,H8,18O,C,PJ,W1_PJ_23,1.71107,44073.54063,17.2,60,0.24704572098476,7,6330.33698912178
DIM.68.12,2,68.12,1,B,9,B9,18O,C,PJ,W1_PJ_23,1.7024716,202705.1227,17.2,60,0.24704572098476,7,29114.7867353057
DIM.68.13,2,68.13,1,C,9,C9,18O,C,PJ,W1_PJ_23,1.6981724,567762.8123,17.2,60,0.24704572098476,7,81548.4728563886
DIM.68.14,2,68.14,1,D,9,D9,18O,C,PJ,W1_PJ_23,1.6927984,630561.324,17.2,60,0.24704572098476,7,90568.3005306307
DIM.68.15,2,68.15,1,E,9,E9,18O,C,PJ,W1_PJ_23,1.6884992,173143.3213,17.2,60,0.24704572098476,7,24868.7887466596
DIM.68.16,2,68.16,1,F,9,F9,18O,C,PJ,W1_PJ_23,1.6852748,58441.86366,17.2,60,0.24704572098476,7,8394.07694394055
DIM.68.17,2,68.17,1,G,9,G9,18O,C,PJ,W1_PJ_23,1.6809756,31342.52275,17.2,60,0.24704572098476,7,4501.76519200872
DIM.68.18,2,68.18,1,H,9,H9,18O,C,PJ,W1_PJ_23,1.6777512,13288.00052,17.2,60,0.24704572098476,7,1908.57190052864
DIM.68.19,2,68.19,1,A,10,A10,18O,C,PJ,W1_PJ_23,1.6756016,10611.89346,17.2,60,0.24704572098476,7,1524.19934351114
DIM.68.20,2,68.2,1,B,10,B10,18O,C,PJ,W1_PJ_23,1.673452,46742.39525,17.2,60,0.24704572098476,7,6713.66786923888
DIM.68.5,2,68.5,1,C,8,C8,18O,C,PJ,W1_PJ_23,1.7336408,10579.66724,17.2,60,0.24704572098476,7,1519.5706517934
